,program_id,program_name
0,1,천연립밤 만들기
1,2,예쁜 led 화분 만들기
2,3,어린이 천연 샴푸/린스 만들기
3,4,캘리그라피 캔버스 꾸미기
4,5,염색 공예 체험
5,6,알록달록 세라믹 핸드페인팅
6,7,딸기소이 캔들 만들기
7,8,MP 천연 비누 만들기 
8,9,천연 립스틱 만들기
9,10,천연 비누 만들기
10,11,머그컵 만들기
11,12,"핸드크림, 바디로션 만들기"
12,13,도자기 만들기
13,14,크리스마스 젤 캔들 홀더 만들기
14,15,원형 젤 캔들 만들기
15,16,석고 접시 만들기
16,17,물레체험
17,18,머그컵 핸드페인팅
18,19,미키마우스 접시 만들기
19,20,손바닥 접시 만들기
20,21,소가죽 지퍼 반지갑 만들기
21,22,가죽 리본 열쇠고리 만들기
22,23,CP천연 비누 만들기
23,24,케이크 캔들 만들기
24,25,아쿠아리움 체험
25,26,마술쇼
26,27,롤러장
27,28,낚시 카페
28,29,헨젤과 그레텔 과자집 만들기
29,30,피자 만들기
30,31,쿠키 만들기
31,32,케이크 만들기
32,33,캐릭터 도시락 만들기
33,34,호두파이 만들기
34,35,쿠키 케익 만들기
35,36,쿠키 아이싱
36,37,돼지떡바 만들기
37,38,오란다 강정 만들기
38,39,떡공예
39,40,고구마빵 만들기
40,41,쌀케이크 만들기
41,42,쌀쿠키 만들기
42,43,쌀머핀 만들기
43,44,할로윈 쿠키몬스터 만들기
44,45,수제 초콜릿 만들기
45,46,콘쿠키 만들기
46,47,퓨전롤떡케이크 만들기
47,48,발레 체험
48,49,암벽 체험
49,50,테니스 체험
50,51,키즈카페
51,52,고체 향수 만들기
52,53,페이퍼 아트
53,54,손뜨개 인형 만들기
54,55,십자수 체험
55,56,피규어 비누 만들기
56,57,오르골 만들기
57,58,컬러 비누 만들기
58,59,카드지갑 만들기
59,60,마카롱 만들기
60,61,꽃차 소믈리에 체험
61,62,슈가 컵케이크 만들기
62,63,과일수제청 쿠키 만들기
63,64,앙금플라워 만들기
64,65,과일청 만들기
65,66,탁구 체험
66,67,스크린 야구 체험
67,68,수영 체험
68,69,아크로바틱 체험
69,70,패러글라이딩 체험
70,71,펜싱 체험
71,72,골프 체험
72,73,리듬체조 체험
73,74,주짓수 체험
74,75,선인장 캔들 만들기
75,76,꽃 바구니 만들기
76,77,피규어찻잔 만들기
77,78,테라리움 만들기
78,79,석고 방향제 만들기
79,80,비즈 팔찌 만들기
80,81,석고 타블렛 꾸미기
81,82,하바리움 체험
82,83,종이접기 클래스
83,84,가죽 키링 만들기
84,85,반지 만들기
85,86,토피어리
86,87,캐릭터 비누 만들기
87,88,나쉬캇제 베이킹
88,89,화과자 만들기
89,90,딸기 우유 만들기
90,91,벨리 댄스 체험
91,92,폴댄스 체험
92,93,플라잉 요가 체험
93,94,k pop 댄스 배우기
94,95,아이스 스케이팅 체험
95,96,네온사인 만들기
96,97,곰돌이 비누 만들기
97,98,팝아트 초상화 그리기
98,99,교통카드 케이스 만들기
99,100,원목 소품 만들기
100,101,가방장식 키링 만들기
101,102,플라워 캔들 만들기
102,103,아이스크림 비누 만들기
103,104,각인 주얼리 만들기
104,105,통가죽 꼬임 팔찌 만들기
105,106,얼굴모양 쿠키 만들기
106,107,연유 쿠키 만들기
107,108,영어 요리 클래스
108,109,초코볼 쿠키 만들기
109,110,머랭쿠키 만들기
110,111,인라인 스케이트 체험
111,112,아기동물체험 나눔농장
112,113,아쿠아플라넷 입장권
113,114,찜질스파 입장권
114,115,요트 투어 이용권
115,116,만화카페  입장권
116,117,체스&보드게임 이용권
117,118,드론 체험권
118,119,루미플레이스 이용권
119,120,VR체험권
120,121,3D 프린팅 체험권
121,122,왕의하루(경복궁 체험)
122,123,황제의 꿈(덕수궁 체험)
123,124,샌드아트 체험권
124,125,조계사 체험권
125,126,청계천 체험권
126,127,덕수궁 달빛 나들이
127,128,인형극 체험
128,129,비행기 만들기
129,130,동물 시계 클레이
130,131,(전시/공연)엘리제를 위하여
131,132,(전시/공연)뮤지컬 슈퍼맨처럼-!
132,133,(전시/공연)아동연극 세종 이도의꿈
133,134,(전시/공연)뮤지컬 좀비덤:생명의 나무
134,135,(전시/공연)연극 북금골예술 여행
135,136,(전시/공연)가족 뮤지컬 어린왕자의 꿈
136,137,(전시/공연)예술의 전당 피노키오
137,138,(전시/공연)로즈페탈-연남동에 꽃을 피우다
138,139,(전시/공연)스폰지밥의 행복을 찾아서
139,140,(전시/공연)한강 유람선 제빵체험
140,141,모래놀이&빛그림 체험
141,142,오로라우주 체험
142,143,키즈런
143,144,고구마캐기 체험
144,145,스머프 곤충나라 자연테마체험
